pincode,address,address from api,districtname,statename,lat,lon
502372,"502372,TELANGANA,India","Siddipet, - 502372, Telangana, India",Medak,TELANGANA,17.9904312,78.8376048
502331,"502331,TELANGANA,India","Medak, - 502331, Telangana, India",Medak,TELANGANA,18.0416256,78.1418518
502125,"502125,TELANGANA,India","Medak, - 502125, Telangana, India",Medak,TELANGANA,18.047758,78.1863123
502303,"502303,TELANGANA,India","Medak, - 502303, Telangana, India",Medak,TELANGANA,18.0182849,77.9883639
502110,"502110,TELANGANA,India","Medak, - 502110, Telangana, India",Medak,TELANGANA,18.0451419,78.2811032
502101,"502101,TELANGANA,India","Medak, - 502101, Telangana, India",Medak,TELANGANA,18.109043,78.444808
508277,"508277,TELANGANA,India","Yadadri Bhuvanagiri, - 508277, Telangana, India",Nalgonda,TELANGANA,17.4268369,79.2846864
508114,"508114,TELANGANA,India","Nalgonda, - 508114, Telangana, India",Nalgonda,TELANGANA,17.2351045,79.0853539
508254,"508254,TELANGANA,India","Nalgonda, - 508254, Telangana, India",Nalgonda,TELANGANA,17.2464684,79.0952457
508101,"508101,TELANGANA,India","Yadadri Bhuvanagiri, - 508101, Telangana, India",Nalgonda,TELANGANA,17.6336846,79.1006772
508377,"508377,TELANGANA,India","Nalgonda, - 508377, Telangana, India",Nalgonda,TELANGANA,16.7838316,79.3265337
508285,"508285,TELANGANA,India","Yadadri Bhuvanagiri, - 508285, Telangana, India",Nalgonda,TELANGANA,17.40552,78.9222997
508117,"508117,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Nalgonda,TELANGANA,17.5042,78.9777
508255,"508255,TELANGANA,India","Nalgonda, - 508255, Telangana, India",Nalgonda,TELANGANA,16.9756511,79.1019594
508245,"508245,TELANGANA,India","Nalgonda, - 508245, Telangana, India",Nalgonda,TELANGANA,16.9992989,78.9562792
508002,"508002,TELANGANA,India","Nalgonda, - 508002, Telangana, India",Nalgonda,TELANGANA,16.9500008,79.201683
508112,"508112,TELANGANA,India","Yadadri Bhuvanagiri, - 508112, Telangana, India",Nalgonda,TELANGANA,17.3660477,79.0155672
508111,"508111,TELANGANA,India","Yadadri Bhuvanagiri, - 508111, Telangana, India",Nalgonda,TELANGANA,17.4439845,79.1726583
508243,"508243,TELANGANA,India","Nalgonda, - 508243, Telangana, India",Nalgonda,TELANGANA,16.6858948,78.9726137
508105,"508105,TELANGANA,India","Yadadri Bhuvanagiri, - 508105, Telangana, India",Nalgonda,TELANGANA,17.723957,78.9296375
508126,"508126,TELANGANA,India","Yadadri Bhuvanagiri, - 508126, Telangana, India",Nalgonda,TELANGANA,17.5075585,78.7802427
